Report generated on: 03-06-2023 12:08:31
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"","petroleum and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-WORL-TBPD.A","    World","","","","","","","","63987.8","60602","58100.1","57929.3","59563.45793989071","59156.12542984","61534.95768046341","62101.270443814006","64398.73170572238","65524.91126314932","66437.18390581224","66338.8510971412","66551.97017470587","67101.17394520548","68639.08794520548","70306.08794520548","71985.6543715847","74220.31616438356","75682.89506849315","74840.0693150685","77729.13101662204","77673.20602621877","77103.67161292638","79623.38939435485","83519.8086748634","85158.96515342465","85278.85240547945","85330.45576438356","86767.47016885792","85716.22519216438","87317.27822534885","88481.5641186452","90769.35775997322","91305.82011806667","93899.4744094","96629.23577778492","97116.43366496103","97797.04021960973","100494.29928876681","100234.96631206493","93864.0789367802","95700.46973860786"
"INTL.53-1-AFG-TBPD.A","        Afghanistan","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-ALB-TBPD.A","        Albania","","","","","","","","44","44","64","75","55","55","55","54","44","47","30","19","10","11.16","11","9.9","9.6","9.265753424657534","6.4","5.575342465753424","5.660099305677597","5.994038690213698","6.322339394060274","6.7221382036109585","6.699","6.985","7.814465753424657","6.501178082191781","6.03453","5.382407123287671","10.866765616438355","15.562518493150685","16.844970573770492","17.01442117808219","20.569209315068495","20.215143835616438","22.80052387978142","17.05404","16.05469","18.05546","17.313858961748632","16.150553172151987"
"INTL.53-1-DZA-TBPD.A","        Algeria","1096.9013698630138","1008.8602739726027","982.9972602739726","1075.25956284153","1151.849315068493","1231.0520547945205","1224.1671232876713","1105.9071038251366","1002.0328767123287","986.6301369863014","961.2602739726027","1014.4403249559011","1036.0712328767124","1072","1071.3205479452056","1045","1105.5863013698631","1180.0684931506848","1170","1201.6120218579235","1311.7150684931507","1295.6","1306.7945205479452","1376.0448087431694","1417.2397260273972","1402.4109589041095","1388.6013698630136","1433.0252873095192","1513.8926453349754","1617.653051408422","1784.043024019222","1844.524956284153","1956.7780684931506","1967.493493150685","1967.5452602739726","1954.481","1909.8231123287671","1880.8924","1862.5645","1875.039769398907","1762.7893219178081","1721.8256","1798.1049","1698.432255737705","1632.8695246575342","1576.7869342465754","1570.104304109589","1404.306743715847","1415.129339462147"
"INTL.53-1-ASM-TBPD.A","        American Samoa","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-AGO-TBPD.A","        Angola","162","169","165","108","194","131","147","150","130","122","177.0054794520548","208.02459016393442","231.0000794520548","282.00029863013697","360.00018630136987","452.0081967213115","455.00031780821917","475.0005123287671","500.00022191780823","526.3200464480874","508.40024657534246","535.7972602739726","645.4328767123287","708.1841530054645","713.2082191780822","734.582191780822","744.517808219178","746.1131126097378","741.9041209332986","896.1430065276055","902.3047216569644","1054.41531147541","1249.228808219178","1419.9168630136987","1747.5048301369864","1960.2265081967214","1886.3642191780823","1918.0725479452055","1765.1344383561643","1796.580180327869","1814.1685342465753","1755.9454383561645","1828.00001369863","1796.7777540983607","1711.196493150685","1655.159095890411","1511.6118493150684","1317.826131147541","1196.686957004252"
"INTL.53-1-ATA-TBPD.A","        Antarctica","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-ATG-TBPD.A","        Antigua and Barbuda","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-ARG-TBPD.A","        Argentina","","","","","","","","508","513","507","504","498","485","471","472","492","496","521","529","597","647.0004602739726","713.1095890410959","773.5753424657535","820.983606557377","904.6712328767123","916.6849315068494","870.2328767123288","831.7453620053552","876.0728794417573","865.5893954248986","865.7590334744","892.810800546448","857.9434465753425","849.6820602739726","822.1879369863013","804.5547267759563","786.1240890410959","786.8620643835617","742.298394520548","720.722118032787","704.9671287671233","713.0421054794521","705.2630424657534","705.0372633879781","685.992236462115","704.6189819418034","723.5407072860636","656.1164094500998","702.3300313170606"
"INTL.53-1-ARM-TBPD.A","        Armenia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-ABW-TBPD.A","        Aruba","","","","","","","","--","--","--","--","--","--","0","0","0","0","-0.0682256","0.0385766698","-0.02753029","-0.028","0","0","0","0","0","0","2.35605572677596","2.3625106739726","2.3625106739726","2.3625106739726","2.356","2.351","2.235","2.477","2.3643","2.4322","2.3885","2.3087","0.5505","0","0","0","0","0","0","0","0","0"
